exp_id,duration,concurrency,interface,delay,port,client_rate,transfer_size,parallel
exp2400,10,4,enp7s0np0,10,5100,4,0.6G,1
exp2401,10,4,enp7s0np0,10,5100,4,0.6G,2
exp2402,10,4,enp7s0np0,10,5100,4,0.6G,4
exp2403,10,4,enp7s0np0,10,5100,4,0.6G,8
exp2404,10,4,enp7s0np0,10,5100,4,0.6G,12
exp2405,10,4,enp7s0np0,10,5100,4,0.6G,16
exp2406,10,4,enp7s0np0,10,5100,4,0.6G,20
exp2407,10,4,enp7s0np0,10,5100,4,0.6G,1
exp2408,10,4,enp7s0np0,10,5100,4,0.6G,2
exp2409,10,4,enp7s0np0,10,5100,4,0.6G,4
exp2410,10,4,enp7s0np0,10,5100,4,0.6G,8
exp2411,10,4,enp7s0np0,10,5100,4,0.6G,12
exp2412,10,4,enp7s0np0,10,5100,4,0.6G,16
exp2413,10,4,enp7s0np0,10,5100,4,0.6G,20
exp2414,10,4,enp7s0np0,10,5100,4,0.6G,1
exp2415,10,4,enp7s0np0,10,5100,4,0.6G,2
exp2416,10,4,enp7s0np0,10,5100,4,0.6G,4
exp2417,10,4,enp7s0np0,10,5100,4,0.6G,8
exp2418,10,4,enp7s0np0,10,5100,4,0.6G,12
exp2419,10,4,enp7s0np0,10,5100,4,0.6G,16
exp2420,10,4,enp7s0np0,10,5100,4,0.6G,20
