exp_id,duration,concurrency,interface,delay,port,client_rate,transfer_size,parallel
exp900,10,1,enp7s0np0,10,5100,1,1G,16
exp901,10,2,enp7s0np0,10,5100,2,1G,16
exp902,10,3,enp7s0np0,10,5100,3,1G,16
exp903,10,4,enp7s0np0,10,5100,4,1G,16
exp904,10,5,enp7s0np0,10,5100,5,1G,16
exp905,10,1,enp7s0np0,10,5100,1,1G,16
exp906,10,2,enp7s0np0,10,5100,2,1G,16
exp907,10,3,enp7s0np0,10,5100,3,1G,16
exp908,10,4,enp7s0np0,10,5100,4,1G,16
exp909,10,5,enp7s0np0,10,5100,5,1G,16
exp910,10,1,enp7s0np0,10,5100,1,1G,16
exp911,10,2,enp7s0np0,10,5100,2,1G,16
exp912,10,3,enp7s0np0,10,5100,3,1G,16
exp913,10,4,enp7s0np0,10,5100,4,1G,16
exp914,10,5,enp7s0np0,10,5100,5,1G,16
exp915,10,1,enp7s0np0,10,5100,1,1G,16
exp916,10,2,enp7s0np0,10,5100,2,1G,16
exp917,10,3,enp7s0np0,10,5100,3,1G,16
exp918,10,4,enp7s0np0,10,5100,4,1G,16
exp919,10,5,enp7s0np0,10,5100,5,1G,16
exp920,10,1,enp7s0np0,10,5100,1,1G,16
exp921,10,2,enp7s0np0,10,5100,2,1G,16
exp922,10,3,enp7s0np0,10,5100,3,1G,16
exp923,10,4,enp7s0np0,10,5100,4,1G,16
exp924,10,5,enp7s0np0,10,5100,5,1G,16
