exp_id,duration,concurrency,interface,delay,port,client_rate,transfer_size,parallel
exp700,10,1,enp7s0np0,10,5100,1,0.5G,16
exp701,10,2,enp7s0np0,10,5100,2,0.5G,16
exp702,10,3,enp7s0np0,10,5100,3,0.5G,16
exp703,10,4,enp7s0np0,10,5100,4,0.5G,16
exp704,10,5,enp7s0np0,10,5100,5,0.5G,16
exp705,10,6,enp7s0np0,10,5100,6,0.5G,16
exp706,10,7,enp7s0np0,10,5100,7,0.5G,16
exp707,10,8,enp7s0np0,10,5100,8,0.5G,16
exp708,10,1,enp7s0np0,10,5100,1,0.5G,16
exp709,10,2,enp7s0np0,10,5100,2,0.5G,16
exp710,10,3,enp7s0np0,10,5100,3,0.5G,16
exp711,10,4,enp7s0np0,10,5100,4,0.5G,16
exp712,10,5,enp7s0np0,10,5100,5,0.5G,16
exp713,10,6,enp7s0np0,10,5100,6,0.5G,16
exp714,10,7,enp7s0np0,10,5100,7,0.5G,16
exp715,10,8,enp7s0np0,10,5100,8,0.5G,16
exp716,10,1,enp7s0np0,10,5100,1,0.5G,16
exp717,10,2,enp7s0np0,10,5100,2,0.5G,16
exp718,10,3,enp7s0np0,10,5100,3,0.5G,16
exp719,10,4,enp7s0np0,10,5100,4,0.5G,16
exp720,10,5,enp7s0np0,10,5100,5,0.5G,16
exp721,10,6,enp7s0np0,10,5100,6,0.5G,16
exp722,10,7,enp7s0np0,10,5100,7,0.5G,16
exp723,10,8,enp7s0np0,10,5100,8,0.5G,16
